time,ID,X,Z,sigma_x,sigma_z
197.60098004341125,1.0,64.97898527875756,138.2045054758069,8.259970895675197,17.22343345649845
199.60098004341125,1.0,65.1275096831851,136.98591094161898,8.216029921220304,16.932120447859116
201.60098004341125,1.0,68.15644803748658,141.98769816665504,8.875443546406506,18.144223267479376
203.60098004341125,1.0,70.04588256015961,144.87462073623954,9.286750454020076,18.863554143010614
205.60098004341125,1.0,70.43648987246465,144.86965699402327,9.338962858122267,18.862304937823918
207.60098004341125,1.0,76.87271885785708,155.89783653147254,10.88697912053469,21.743082414997033
261.60098004341125,7.0,107.45661860236945,220.20278092194678,20.975171235112022,42.741972564687664
263.60098004341125,7.0,111.69211735284377,230.54145381444505,22.77512180488102,46.78763055430372
265.60098004341125,7.0,108.23223212620654,224.6480063869634,21.52992246086273,44.45871361481998
267.60098004341125,7.0,114.36922463672596,238.86951278271914,24.124232965952046,50.181415316663774
269.60098004341125,7.0,108.95759849035497,229.04268875567243,22.076052758607744,46.18964691441794
271.60098004341125,7.0,110.30804472423651,234.0307651152654,22.81290970910026,48.19491492139651
273.60098004341125,7.0,106.46251171187299,227.53346528236696,21.431656750386463,45.591430098369834
275.60098004341125,7.0,107.23257190292702,230.79012769636384,21.880323760668766,46.88722461156367
277.60098004341125,7.0,107.82007383760083,233.79194020579703,22.272339922217736,48.097920065768086
279.60098004341125,7.0,105.81890215692371,231.4133971300827,21.6445153532979,47.13731605386868
281.60098004341125,7.0,103.88220735097876,228.92298225634056,21.028303234007268,46.14205403655923
283.60098004341125,7.0,105.21479261813572,233.5824336451818,21.71093723085448,48.012913893793076
285.60098004341125,7.0,99.10932873915559,221.38029040798116,19.428723682368886,43.193386439670334
287.60098004341125,7.0,99.04719414821353,223.234877609366,19.56978398091926,43.909246714188455
289.60098004341125,7.0,96.75904685014707,219.52530083371093,18.813810127103427,42.48334211499575
291.60098004341125,7.0,95.07499773562672,217.90694448740078,18.354848612675813,41.86875289384293
293.60098004341125,7.0,93.4725111541701,215.40782133230627,17.847752035957896,40.92861159740714
295.60098004341125,7.0,91.56492976758959,212.94879596319063,17.292377829733734,40.01413415640341
297.60098004341125,7.0,90.37148561763588,211.6895706472912,16.969982685422714,39.549908466741044
299.60098004341125,7.0,88.82127934295005,210.6638430498148,16.60006577105391,39.173797664246976
301.60098004341125,7.0,89.93321876715761,214.39147163048347,17.08897161539691,40.54937292673673
303.60098004341125,7.0,88.06704247321291,212.34356725214272,16.58057577360216,39.79066723665049
305.60098004341125,7.0,88.17264908994774,214.82660941690577,16.782808256613748,40.71151990560968
307.60098004341125,7.0,87.10470837277299,214.09723991327624,16.524477750637462,40.439918506311734
309.60098004341125,7.0,85.24315670641126,211.57463364223804,15.988674451652528,39.50767286686412
311.60098004341125,7.0,85.42444116219308,214.67279713222513,16.243122869139455,40.654166725965055
313.60098004341125,7.0,82.52258232464362,209.39834409360924,15.323520268267341,38.712284129821896
315.60098004341125,7.0,82.90844913715068,212.44788849775875,15.606024732844277,39.829140138567865
318.10098004341125,7.0,81.54332630804814,211.30073249060322,15.268396782187818,39.40711554217544
320.10098004341125,7.0,80.24182313597261,210.4570674531073,14.965636391038899,39.09819892668597
321.60098004341125,7.0,79.52762403490298,211.20211392371198,14.880044675358569,39.37094158668725
323.60098004341125,7.0,78.92786803844204,211.93291398856965,14.814377391448453,39.6394048573566
325.60098004341125,7.0,78.87659004172095,214.84278734641782,14.99532233454794,40.71755468199305
327.60098004341125,7.0,77.86790784970185,214.46327988219753,14.776686047722519,40.576108458265985
329.60098004341125,7.0,77.13856459895727,215.10150900397517,14.67749399742316,40.814126110701224
331.60098004341125,7.0,76.24651520656151,215.69001191193175,14.54294699516704,41.03422558542969
333.60098004341125,7.0,75.19827105800972,215.63229958416287,14.336903822800393,41.012614653665445
335.60098004341125,7.0,73.0870917606621,211.57347318504813,13.683062016740243,39.50724655360587
337.60098004341125,7.0,73.23581082831606,216.16594975841815,13.990472386292305,41.21266544301338
339.60098004341125,7.0,73.78882306048227,220.85672977721026,14.3852242268278,42.9923754247441
341.60098004341125,7.0,69.84551562129002,212.74354818942098,13.136044198230131,39.93827985470651
343.60098004341125,7.0,71.0449117998947,220.06640087828393,13.796711485698944,42.68984495853419
345.60098004341125,7.0,68.63308459180831,214.79250018691988,13.021543859703783,40.69879778955255
347.60098004341125,7.0,70.24164438914562,223.7344586234119,13.852862766087158,44.10310276891882
349.60098004341125,7.0,67.52017192941399,222.93339560950238,13.263899487074726,43.79247003291213
351.60098004341125,7.0,63.94098340786372,220.63764046308,12.428988770507125,42.90840149477418
353.60098004341125,7.0,61.87732205667257,222.39005775935655,12.111870011028229,43.58241071601899
355.60098004341125,7.0,60.00059659626383,226.37434797343496,11.937316482790635,45.13467024418823
357.60098004341125,7.0,56.534821584440515,223.13762530331252,11.085100725568749,43.87155956290907
359.60098004341125,7.0,54.947784237130215,226.97947850753755,10.943701262426508,45.37283607139149
361.60098004341125,7.0,52.2782232155513,227.17644071276854,10.411361112195138,45.4504930795729
363.60098004341125,7.0,49.23030681350171,226.2301326445396,9.754781301232393,45.07800409948293
365.60098004341125,7.0,47.09378803181361,228.21192741256843,9.400476571374755,45.85986566490065
367.60098004341125,7.0,44.83936246412799,229.26684864459523,8.980508854427436,46.27883523366563
369.60098004341125,7.0,42.51269033294489,231.16487590845156,8.57131985154559,47.037514265286084
371.60098004341125,7.0,40.02443924817441,232.56157730407082,8.104604688673929,47.599796863994015
371.60098004341125,18.0,-68.19815433125521,264.267864558666,16.20273283422253,61.274951137733645
373.60098004341125,7.0,37.521161380466296,232.28701976196908,7.577259709941143,47.48899840709422
375.60098004341125,7.0,35.29428780582807,236.50750127102523,7.238824078894868,49.20663779336121
375.60098004341125,18.0,-67.34119002412935,259.9758499671444,15.752861666025723,59.32165712090384
377.60098004341125,7.0,34.708844745828245,237.41820185455845,7.141555975274027,49.58132740607479
377.60098004341125,18.0,-66.39857664951643,257.13449964829374,15.372950807132067,58.04615073126476
379.60098004341125,7.0,30.505874539611273,240.06353880704583,6.319534763012439,50.67786223900287
379.60098004341125,18.0,-66.2622374920884,256.06908168669895,15.281027202311073,57.57148799054077
381.60098004341125,7.0,28.29199133700761,240.61665487327232,5.859609463526502,50.908673077001794
381.60098004341125,18.0,-65.05599552319354,251.5448287542008,14.753406350864115,55.577800510121605
383.60098004341125,7.0,25.549039735279177,244.0551959780515,5.344409539405919,52.355459935152524
385.60098004341125,7.0,23.714872673324006,244.16476139254533,4.9488306110141265,52.40189761942592
387.60098004341125,7.0,21.676135657019262,249.95283810512325,4.60850747314853,54.88471383811144
387.60098004341125,18.0,-66.45680772687592,258.6347281034765,15.472140232492954,58.71786988266345
389.60098004341125,7.0,19.355424750914676,250.80165944415316,4.10730875217103,55.2537079577626
389.60098004341125,18.0,-66.47888555442857,258.83707687730157,15.488797524503386,58.808769450499256
391.60098004341125,7.0,16.85209992488756,252.5736070238872,3.5748272695024808,56.02802784203339
