time,N,E,heading
0.28632402420043945,-12.087457234187905,17.821412802687306,191.6
2.0965871810913086,-12.273018570787208,17.92623307344422,191.8
3.027323007583618,-12.273018763109985,17.926233353780372,191.8
4.856364011764526,-12.273018138800065,18.03105258637841,191.9
5.78678297996521,-12.273017704392874,18.135872099013202,191.9
7.596310138702393,-12.087454619436894,18.450329852711505,191.9
8.596431970596313,-12.087453538110761,18.659968577245554,191.9
10.336030006408691,-12.08745263632537,18.869607590442772,191.9
11.336446046829224,-12.08745172431879,19.07924660378163,192.0
12.156348943710327,-12.087450802487364,19.288885617274165,192.0
13.066466093063354,-11.901888105592178,19.49852380159052,192.0
14.086160898208618,-11.901887635733207,19.603343303659297,192.1
14.906553983688354,-11.901886688547542,19.812982307909103,192.2
15.836360931396484,-11.901885731537035,20.02262131231258,192.3
16.836270809173584,-11.901885249099742,20.12744081456443,192.4
17.656198024749756,-11.9018847643263,20.232260316971317,192.5
18.606507062911987,-11.901883787185849,20.441899321215665,192.6
20.42617702484131,-11.901883294485408,20.546718823381934,193.0
21.356056213378906,-11.901882799803222,20.651538325488048,193.17603482592995
23.186527967453003,-11.901881616101257,20.861177003597348,193.5
24.116141080856323,-11.71631916793196,20.965995284366613,193.7
25.926769971847534,-11.530756395136905,21.175633372854634,194.2
26.8562171459198,-11.530756214276309,21.175633041480175,194.4
28.686325073242188,-11.345193773609328,21.280451291784146,194.9
29.61624312400818,-11.15963201853791,21.28045038667134,195.2
31.426366090774536,-10.974069752549937,21.385268954816585,195.6
32.387553215026855,-10.974069752549937,21.385268954816585,195.8
34.186310052871704,-10.788507483854819,21.490087514003875,196.3
35.117430210113525,-10.788506966109335,21.59490698298611,196.5
36.92683506011963,-10.602944002635205,21.80454465215618,196.9
37.87639904022217,-10.417381729328397,21.90936318284964,197.1
39.68636703491211,-10.23181929072781,22.014181360500935,197.5
40.616098165512085,-10.046257012043728,22.118999872052807,197.6
42.42626905441284,-9.860693505014769,22.43345691036576,197.8
