time,ais_id,N,E,mmsi
13.76374101638794,18,-239.907609221899,-9.316927221918071,219026300
27.137603044509888,18,-96.77765132386278,112.0806643741286,219026304
36.785264015197754,18,-1105.0461953199692,-152.10153777120374,219032845
42.09235405921936,3,-10.137422381295956,21.39214844175311,219384000
52.38641309738159,3,2033.1675993126196,181.7473329127556,219011021
53.90011191368103,18,-25.422305838117126,206.06422433235704,219026304
58.47619414329529,18,300.3284146457948,-7.936384455409176,219006006
61.067315101623535,1,1679.676188856557,1617.431874726508,219025528
66.93470907211304,18,-229.71444666650507,-19.57360923504039,219026300
75.90875005722046,3,2034.8665932599743,184.9245901470065,219011021
78.4474229812622,1,2046.7581715667648,174.13318964720818,219019518
79.22601819038391,3,2034.8666008909986,185.10443890502418,219011021
80.82161211967468,18,39.98906535343673,299.86518763313643,219026304
82.14108109474182,3,2034.866605982687,185.22433807701725,219011021
84.97031497955322,3,2034.8666187258418,185.5240860073112,219011021
88.70960903167725,3,2046.3334780502682,174.67275146703992,219019518
91.24602103233337,3,2033.5924887797025,185.88383785181998,219011021
94.35685801506042,3,2033.59250668889,186.30348507657473,219011021
94.79457116127014,18,-239.90760161676627,-12.375951286268396,219026300
97.53745794296265,1,2045.4840214937967,174.0133416615439,219019518
102.84581208229065,3,1680.5266423393766,1620.189464624236,219025528
108.41829299926758,18,74.39830223108616,393.1863233993664,219026304
116.05775690078735,1,1680.5269542747005,1621.0288270188667,219025528
116.60025095939636,1,2044.2099652916195,176.2315224500794,219019518
121.20537495613098,18,-266.6645139275844,-24.192329864473354,219026300
131.22016596794128,3,2033.167931117383,189.54078213414977,219011021
134.22635912895203,3,2033.1679363312414,189.6606813531602,219011021
136.3829698562622,18,86.294607425688,438.46741778798605,219026304
139.72697806358337,3,1680.5273332707632,1622.0480527841864,219025528
142.10243105888367,18,42.105192690336935,158.07944515085381,219006006
150.28375601768494,18,-340.9893371762766,-33.96984935228289,219026300
155.29848098754883,3,2033.5925787318852,187.9820739761416,219011021
158.67312598228455,3,1680.5274893970436,1622.4677339816014,219025528
162.38188123703003,1,2033.592545202927,187.20272912995864,219011021
162.557373046875,1,2046.3334278006946,173.41381347186464,219019518
163.73253297805786,18,84.59618195334055,442.72591311653173,219026304
164.93259406089783,3,1680.5275786300692,1622.7075518084396,219025528
167.8076949119568,3,1680.5275786300692,1622.7075518084396,219025528
170.94595003128052,1,1680.5276232518488,1622.8274607221506,219025528
177.83747100830078,18,-413.6152813958726,-43.20783564664109,219026300
182.64756417274475,3,1680.103064607178,1623.247300042885,219025528
185.6539270877838,3,2033.1678352626336,187.3226465867899,219011021
188.43990802764893,1,2047.18292026082,174.97246451579272,219019518
190.6718029975891,18,85.87048826887138,444.3451461982021,219026304
192.09086394309998,3,2033.1678455710107,187.56244502436607,219011021
194.52551102638245,3,1680.1031315630573,1623.427163430767,219025528
197.41161918640137,1,1680.1031762043917,1623.5470723559724,219025528
197.80761289596558,3,2033.1678455710107,187.56244502436607,219011021
198.132061958313,3,64.1882009285952,80.94863034924984,219384000
198.7170660495758,1,2048.0323048963783,173.83339172800711,219019518
201.18089509010315,3,1680.1031762043917,1623.5470723559724,219025528
204.28886890411377,18,-483.6929396822324,-50.52660393197006,219026300
207.0921950340271,1,1680.1032878221317,1623.846844668889,219025528
207.14876198768616,3,2033.1678455710107,187.56244502436607,219011021
207.60251808166504,3,67.58600717924864,85.9266281247978,219384000
210.16863489151,3,2033.5925555045908,187.4425275441269,219011021
216.53240203857422,3,68.43555089236202,91.62439074476673,219384000
218.17600107192993,18,85.44584774703783,445.0649061484268,219026304
218.2187101840973,3,1680.1033771308548,1624.0866625190745,219025528
222.54480504989624,3,68.43562403519513,95.0430583553464,219384000
225.94750690460205,1,1680.1033994603558,1624.1466169818614,219025528
226.5508041381836,3,68.86037748865684,96.84234766965932,219384000
228.33879709243774,3,1680.1033994603558,1624.1466169818614,219025528
228.97000193595886,3,68.86040563085555,98.10185666673556,219384000
229.51248002052307,18,747.1564757968973,500.9468777231999,219026306
230.9791829586029,3,1680.1033994603558,1624.1466169818614,219025528
231.5642671585083,3,68.86043140620188,99.24141242606466,219384000
231.83001613616943,18,-557.1683227845673,-55.02634672198854,219026300
234.47119903564453,1,1680.1034441217992,1624.2665259070213,219025528
235.30481481552124,1,69.28518659215499,101.04070115608555,219384000
237.76924014091492,3,1680.1034441217992,1624.2665259070213,219025528
237.8696231842041,3,70.13464089912928,102.18023690799922,219384000
240.77578496932983,3,1680.1034441217992,1624.2665259070213,219025528
241.2436180114746,3,70.55938446526693,103.43973546648368,219384000
